1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
1,2,3,4,5,6,10,10,10,10,0,0,0,0,0,0,0,0,0,0
1,2,3,4,5,6,11,11,11,11,11,0,0,0,0,0,0,0,0,0
1,2,3,4,5,6,12,12,12,12,12,12,0,0,0,0,0,0,0,0
1,2,3,4,5,6,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1,2,3,4,5,6,7,14,14,14,14,14,14,14,0,0,0,0,0,0
1,2,3,4,5,6,7,8,9,15,15,15,15,15,15,0,0,0,0,0
1,2,3,4,5,6,7,8,9,16,16,16,16,16,16,16,0,0,0,0
1,2,3,4,5,6,7,8,9,17,17,17,17,17,17,17,17,0,0,0
1,2,3,4,5,6,7,8,9,10,18,18,18,18,18,18,18,18,0,0
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,19,19,0
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
